Date,5 YR,7 YR,10 YR,20 YR,30 YR
04/25/2025,1.56,1.8,2.02,2.36,2.53
04/01/2025,1.37,1.63,1.84,2.15,2.3
03/03/2025,1.38,1.61,1.8,2.07,2.2
02/03/2025,1.74,1.93,2.09,2.3,2.39
01/02/2025,1.97,2.11,2.23,2.4,2.48
12/02/2024,1.75,1.84,1.93,2.08,2.15
11/01/2024,1.85,1.95,2.04,2.18,2.25
10/01/2024,1.44,1.49,1.55,1.76,1.9
09/03/2024,1.7,1.71,1.73,1.89,2
08/01/2024,1.78,1.78,1.79,1.96,2.09
07/01/2024,2.15,2.15,2.16,2.25,2.32
06/03/2024,2.11,2.09,2.08,2.15,2.22
05/01/2024,2.25,2.25,2.25,2.33,2.38
04/01/2024,1.93,1.95,1.98,2.09,2.17
03/01/2024,1.77,1.82,1.87,1.98,2.05
02/01/2024,1.63,1.65,1.68,1.82,1.91
01/02/2024,1.76,1.75,1.74,1.84,1.91
12/01/2023,2.02,2.01,2,2.07,2.12
11/01/2023,2.31,2.33,2.36,2.41,2.44
10/02/2023,2.49,2.4,2.34,2.36,2.41
09/01/2023,2.12,2,1.92,1.96,2.04
08/01/2023,1.98,1.8,1.68,1.72,1.81
07/03/2023,1.98,1.76,1.61,1.56,1.62
06/01/2023,1.63,1.52,1.45,1.52,1.62
05/01/2023,1.4,1.38,1.36,1.49,1.61
04/03/2023,1.13,1.13,1.14,1.3,1.43
03/01/2023,1.68,1.62,1.57,1.58,1.6
02/01/2023,1.19,1.16,1.14,1.24,1.33
01/03/2023,1.65,1.58,1.53,1.56,1.61
12/01/2022,1.23,1.2,1.17,1.23,1.29
11/01/2022,1.62,1.58,1.56,1.59,1.64
10/03/2022,1.64,1.51,1.43,1.49,1.58
09/01/2022,0.87,0.84,0.81,0.95,1.07
08/01/2022,-0.06,0,0.09,0.43,0.67
07/01/2022,0.28,0.42,0.54,0.76,0.88
06/01/2022,-0.02,0.14,0.29,0.54,0.67
05/02/2022,-0.2,0,0.18,0.43,0.56
04/01/2022,-0.73,-0.57,-0.41,-0.15,0
03/01/2022,-1.58,-1.21,-0.9,-0.41,-0.16
02/01/2022,-1.17,-0.87,-0.62,-0.25,-0.08
01/03/2022,-1.58,-1.25,-0.97,-0.55,-0.36
