Date,Close (USD),Volume
28-Apr-25,14.52,"9,744,296"
01-Apr-25,14.49,"408,717,500"
05-Mar-25,0.03 Dividend,
01-Mar-25,12.61,"415,830,400"
01-Feb-25,10.72,"453,310,700"
01-Jan-25,11.28,"430,122,500"
01-Dec-24,9.27,"322,905,800"
27-Nov-24,0.03 Dividend,
01-Nov-24,9.71,"364,131,300"
01-Oct-24,10.08,"301,625,000"
01-Sep-24,9.36,"361,073,700"
22-Aug-24,0.03 Dividend,
01-Aug-24,9.04,"327,928,700"
01-Jul-24,9.06,"358,195,300"
01-Jun-24,8.32,"321,609,900"
30-May-24,0.03 Dividend,
01-May-24,8.13,"336,390,300"
01-Apr-24,6.45,"407,220,600"
05-Mar-24,0.03 Dividend,
01-Mar-24,6.13,"335,053,400"
01-Feb-24,4.9,"219,987,700"
01-Jan-24,5.51,"249,805,200"
01-Dec-23,6.05,"290,339,500"
29-Nov-23,0.03 Dividend,
01-Nov-23,5.89,"266,625,900"
01-Oct-23,5.21,"298,812,700"
01-Sep-23,4.56,"212,696,600"
23-Aug-23,0.03 Dividend,
01-Aug-23,5.07,"216,968,300"
01-Jul-23,4.98,"159,597,500"
01-Jun-23,4.77,"230,287,800"
31-May-23,0.03 Dividend,
01-May-23,4.71,"269,969,200"
01-Apr-23,5.05,"258,017,400"
07-Mar-23,0.03 Dividend,
01-Mar-23,4.71,"390,091,400"
01-Feb-23,3.66,"274,870,600"
01-Jan-23,4.64,"307,503,000"
01-Dec-22,4.09,"289,097,300"
30-Nov-22,0.03 Dividend,
01-Nov-22,4.13,"424,980,100"
01-Oct-22,3.63,"352,170,900"
01-Sep-22,3.76,"370,803,600"
17-Aug-22,0.03 Dividend,
01-Aug-22,3.28,"367,094,200"
01-Jul-22,3.41,"423,473,500"
01-Jun-22,0.03 Dividend,
01-Jun-22,3.58,"542,519,900"
01-May-22,4.5,"402,863,200"
01-Apr-22,5.08,"387,433,500"
08-Mar-22,0.03 Dividend,
01-Mar-22,5.88,"522,769,200"
01-Feb-22,5.01,"453,893,300"
01-Jan-22,5.4,"356,711,400"
01-Dec-21,5.81,"391,092,100"
30-Nov-21,0.03 Dividend,
01-Nov-21,5.95,"306,940,300"
01-Oct-21,6.01,"234,009,400"
01-Sep-21,5.36,"254,960,100"
18-Aug-21,0.03 Dividend,
01-Aug-21,6.02,"219,322,600"
01-Jul-21,6.56,"296,751,200"
02-Jun-21,0.03 Dividend,
01-Jun-21,6.35,"298,744,800"
01-May-21,8.1,"285,777,300"
01-Apr-21,7.04,"230,859,700"
02-Mar-21,0.03 Dividend,
01-Mar-21,6.67,"335,935,400"
01-Feb-21,6.23,"352,906,100"
01-Jan-21,6.98,"358,703,800"
01-Dec-20,7.34,"460,905,100"
24-Nov-20,0.03 Dividend,
01-Nov-20,7.14,"257,672,700"
07-Oct-20,0.03 Dividend,
01-Oct-20,7.97,"240,264,700"
01-Sep-20,8.82,"335,212,900"
01-Aug-20,8.88,"363,589,700"
01-Jul-20,9.37,"365,969,900"
01-Jun-20,7.22,"414,699,100"
01-May-20,6.55,"371,826,200"
