Date,Close ,Volume,,,,,,
29-Apr-25,14.59,"13,387,185",,,,,,
28-Apr-25,14.78,"20,361,000",,,,,,
21-Apr-25,14.49,"111,979,900",,,,,,
14-Apr-25,14.8,"78,935,500",,,,,,
07-Apr-25,14.38,"126,108,300",,,,,,
31-Mar-25,11.79,"109,697,800",,,,,,
24-Mar-25,12.49,"74,504,600",,,,,,
17-Mar-25,12.16,"88,350,600",,,,,,
10-Mar-25,11.63,"111,038,800",,,,,,
05-Mar-25,0.03 Dividend,,,,,,,
03-Mar-25,11.15,"123,936,500",,,,,,
24-Feb-25,10.72,"112,554,500",,,,,,
17-Feb-25,10.97,"103,396,200",,,,,,
10-Feb-25,11.27,"128,237,100",,,,,,
03-Feb-25,11.87,"109,122,900",,,,,,
27-Jan-25,11.28,"118,603,500",,,,,,
20-Jan-25,10.69,"71,416,100",,,,,,
13-Jan-25,10.31,"104,248,900",,,,,,
06-Jan-25,10.44,"97,459,800",,,,,,
30-Dec-24,9.78,"62,213,900",,,,,,
23-Dec-24,9.31,"46,545,400",,,,,,
16-Dec-24,9.25,"101,745,400",,,,,,
09-Dec-24,9.77,"79,742,600",,,,,,
02-Dec-24,9.75,"71,052,700",,,,,,
27-Nov-24,0.03 Dividend,,,,,,,
25-Nov-24,9.71,"64,189,700",,,,,,
18-Nov-24,10.22,"87,293,100",,,,,,
11-Nov-24,9.25,"98,080,000",,,,,,
04-Nov-24,10.47,"100,683,800",,,,,,
28-Oct-24,9.98,"75,588,900",,,,,,
21-Oct-24,10.53,"80,856,100",,,,,,
14-Oct-24,10.61,"57,483,000",,,,,,
07-Oct-24,9.82,"53,638,100",,,,,,
30-Sep-24,9.42,"59,904,800",,,,,,
23-Sep-24,9.46,"66,103,100",,,,,,
16-Sep-24,9.56,"158,018,000",,,,,,
09-Sep-24,9.84,"72,186,700",,,,,,
02-Sep-24,8.33,"52,804,700",,,,,,
26-Aug-24,9.04,"58,948,000",,,,,,
22-Aug-24,0.03 Dividend,,,,,,,
19-Aug-24,9.15,"84,274,100",,,,,,
12-Aug-24,9.17,"60,137,100",,,,,,
05-Aug-24,8.48,"74,639,100",,,,,,
29-Jul-24,8.75,"95,997,600",,,,,,
22-Jul-24,8.61,"80,596,900",,,,,,
15-Jul-24,8.82,"89,747,300",,,,,,
08-Jul-24,9.21,"85,469,800",,,,,,
01-Jul-24,8.47,"56,314,100",,,,,,
24-Jun-24,8.32,"82,628,900",,,,,,
17-Jun-24,7.62,"85,093,700",,,,,,
10-Jun-24,7.41,"72,151,200",,,,,,
03-Jun-24,7.4,"81,736,100",,,,,,
30-May-24,0.03 Dividend,,,,,,,
27-May-24,8.13,"55,049,100",,,,,,
20-May-24,8.07,"88,417,000",,,,,,
13-May-24,8,"60,026,900",,,,,,
06-May-24,7.59,"89,370,300",,,,,,
29-Apr-24,6.59,"74,393,400",,,,,,
22-Apr-24,6.74,"90,786,600",,,,,,
15-Apr-24,6.77,"99,850,200",,,,,,
08-Apr-24,6.38,"98,353,000",,,,,,
01-Apr-24,6.4,"87,364,400",,,,,,
25-Mar-24,6.13,"49,535,100",,,,,,
18-Mar-24,5.65,"63,861,800",,,,,,
11-Mar-24,5.67,"90,402,200",,,,,,
05-Mar-24,0.03 Dividend,,,,,,,
04-Mar-24,5.37,"110,148,500",,,,,,
26-Feb-24,5.08,"60,548,700",,,,,,
19-Feb-24,4.98,"41,422,600",,,,,,
12-Feb-24,5.07,"69,045,600",,,,,,
05-Feb-24,5.16,"46,975,200",,,,,,
29-Jan-24,5.5,"55,569,700",,,,,,
22-Jan-24,5.54,"58,606,400",,,,,,
15-Jan-24,5.4,"51,559,500",,,,,,
08-Jan-24,5.89,"53,182,700",,,,,,
01-Jan-24,5.71,"53,988,300",,,,,,
25-Dec-23,6.05,"35,423,000",,,,,,
18-Dec-23,6.16,"66,066,800",,,,,,
11-Dec-23,6.03,"91,402,000",,,,,,
04-Dec-23,5.75,"84,144,600",,,,,,
29-Nov-23,0.03 Dividend,,,,,,,
27-Nov-23,5.94,"72,884,600",,,,,,
20-Nov-23,5.58,"36,956,400",,,,,,
13-Nov-23,5.32,"60,727,800",,,,,,
06-Nov-23,5.18,"67,481,100",,,,,,
30-Oct-23,5.55,"66,209,000",,,,,,
23-Oct-23,5.31,"75,155,300",,,,,,
16-Oct-23,5.34,"75,640,200",,,,,,
09-Oct-23,5.12,"62,584,400",,,,,,
02-Oct-23,4.6,"61,102,900",,,,,,
25-Sep-23,4.56,"55,333,700",,,,,,
18-Sep-23,4.98,"48,257,200",,,,,,
11-Sep-23,5.18,"68,914,100",,,,,,
04-Sep-23,4.77,"30,656,200",,,,,,
28-Aug-23,5.03,"51,434,600",,,,,,
23-Aug-23,0.03 Dividend,,,,,,,
21-Aug-23,4.81,"42,584,200",,,,,,
14-Aug-23,4.62,"39,072,100",,,,,,
07-Aug-23,5.08,"47,363,700",,,,,,
31-Jul-23,4.95,"53,161,100",,,,,,
24-Jul-23,4.86,"41,605,200",,,,,,
17-Jul-23,5.03,"35,609,200",,,,,,
10-Jul-23,5.06,"45,809,000",,,,,,
03-Jul-23,4.59,"29,462,100",,,,,,
26-Jun-23,4.77,"53,043,600",,,,,,
19-Jun-23,4.61,"32,089,700",,,,,,
12-Jun-23,4.88,"75,142,400",,,,,,
05-Jun-23,4.85,"50,310,200",,,,,,
31-May-23,0.03 Dividend,,,,,,,
29-May-23,4.85,"39,852,800",,,,,,
22-May-23,4.74,"42,548,000",,,,,,
